-33.342,-65.36,-15.202
-20.975,-74.36,-8.8435
-19.722,-85.735,-12.295
-36.243,-86.2,-7.4472
-22.058,-96.229,-7.6878
-43.575,-74.991,4.6348
-7.6855,-93.143,-1.9637
-25.751,-92.829,5.9855
-37.347,-82.917,14.027
-14.964,-93.817,16.942
-26.833,-81.933,22.422
-25.351,-54.461,-7.9665
-14.204,-61.785,-4.6589
-7.2978,-76.006,-3.6781
-13.64,-49.945,-0.82035
-7.9805,-77.89,7.9778
-18.96,-63.359,6.2356
-4.8351,-87.134,21.484
-11.395,-73.233,22.497
-13.804,-83.482,34.69
-8.1641,-10.262,44.507
-39.666,-13.841,47.01
-44.824,-29.659,52.613
-41.593,-23.114,52.496
-6.0077,-21.392,50.306
-33.792,-19.547,59.677
-5.0981,-7.012,60.234
-31.488,-30.557,59.495
-26.737,-37.152,63.163
-22.729,-12.638,64.08
-9.4446,-40.935,64.774
-5.779,-25.287,65.634
-18.387,-44.523,66.993
-17.806,-32.064,66.75
-16.983,-25.829,65.755
-47.777,-14.576,2.3442
-52.255,-26.279,8.59
-37.875,-12.206,14.82
-35.241,-25.123,14.305
-49.344,-15.684,15.863
-53.538,-39.36,18.718
-43.663,-31.613,19.035
-59.892,-6.1189,14.791
-56.579,-21.1,20.617
-55.494,-8.7727,28.065
-46.994,-10.252,40.338
-48.211,-17.488,41.618
-34.039,-41.072,-20.333
-45.85,-50.382,-15.896
-42.729,-69.735,-7.385
-45.193,-67.295,14.255
-21.236,-76.03,39.57
-25.715,-67.574,39.364
-17.28,-66.297,54.156
-25.905,-56.965,56.634
-50.894,-62.664,1.6191
-55.72,-22.065,34.213
-52.517,-31.722,41.11
-40.324,-36.346,45.738
-29.83,-45.78,59.643
-15.177,-55.139,62.979
-31.763,-4.3078,51.782
-20.269,5.6682,59.92
-55.692,-43.235,27.076
-56.795,-31.085,24.536
-39.181,-4.4403,-5.7901
-33.52,18.833,7.5331
-37.764,1.3776,10.716
-51.79,-1.3343,7.6313
-11.38,-33.214,44.303
-7.328,-49.722,57.576
-6.5752,7.6435,41.181
-12.985,-5.6822,68.321
-58.354,-37.513,36.145
-27.631,43.99,26.224
-36.809,32.297,32.043
-32.908,25.284,-1.2637
-45.489,12.742,3.0739
-6.5692,27.767,27.384
-22.451,21.327,-18.726
-9.6969,22.508,-20.361
-10.958,47.578,-20.156
-20.043,60.684,-4.5568
-30.575,-5.5438,-37.329
-51.443,-19.743,-29.863
-40.216,-20.94,-26.144
-29.166,8.109,-32.236
-42.907,3.1566,-16.486
-56.581,-53.429,-7.7626
-33.181,-61.152,43.933
